answer,Año,Trimestre,Mes,Día,id,Incidencia,question_id,sectionid,TamañoAsignado,type_id,Año,Trimestre,Mes,Día,visit_id
BANNER  VERTICAL,2025,Trim. 3,agosto,28,2837,Lona,10,2,,1,2025,Trim. 3,agosto,28,10201
Cambio a Tecate,2025,Trim. 3,agosto,27,1961,Lona,10,2,,1,2025,Trim. 3,agosto,27,10047
Cambio de imagen,2025,Trim. 3,agosto,29,3247,Lona,10,2,,1,2025,Trim. 3,agosto,29,10019
Cambio de imagen,2025,Trim. 3,agosto,31,4598,Lona,10,2,,1,2025,Trim. 3,agosto,31,10575
"Cliente , no quiere promociones .",2025,Trim. 3,septiembre,9,7615,Lona,10,2,,1,2025,Trim. 3,septiembre,9,7699
Cliente cerrado,2025,Trim. 3,agosto,26,1573,Lona,10,2,,1,2025,Trim. 3,agosto,26,10313
Cliente cerrado,2025,Trim. 3,agosto,30,3913,Lona,10,2,,1,2025,Trim. 3,agosto,30,8659
Cliente Cerrado Lona,2025,Trim. 3,agosto,25,1084,Lona,8,2,,1,2025,Trim. 3,agosto,25,10444
Cliente Cerrado Lona,2025,Trim. 3,agosto,25,1119,Lona,8,2,,1,2025,Trim. 3,agosto,25,10149
Cliente Cerrado Lona,2025,Trim. 3,agosto,26,1496,Lona,8,2,,1,2025,Trim. 3,agosto,26,10371
Cliente Cerrado Lona,2025,Trim. 3,agosto,26,1571,Lona,8,2,,1,2025,Trim. 3,agosto,26,10313
Cliente Cerrado Lona,2025,Trim. 3,agosto,26,1623,Lona,8,2,,1,2025,Trim. 3,agosto,26,4711
Cliente Cerrado Lona,2025,Trim. 3,agosto,27,1835,Lona,8,2,,1,2025,Trim. 3,agosto,27,10607
Cliente Cerrado Lona,2025,Trim. 3,agosto,27,1884,Lona,8,2,,1,2025,Trim. 3,agosto,27,10569
Cliente Cerrado Lona,2025,Trim. 3,agosto,27,1919,Lona,8,2,,1,2025,Trim. 3,agosto,27,9958
Cliente Cerrado Lona,2025,Trim. 3,agosto,27,1966,Lona,8,2,,1,2025,Trim. 3,agosto,27,10292
Cliente Cerrado Lona,2025,Trim. 3,agosto,27,1977,Lona,8,2,,1,2025,Trim. 3,agosto,27,9544
Cliente Cerrado Lona,2025,Trim. 3,agosto,27,1994,Lona,8,2,,1,2025,Trim. 3,agosto,27,9757
Cliente Cerrado Lona,2025,Trim. 3,agosto,27,2014,Lona,8,2,,1,2025,Trim. 3,agosto,27,9400
Cliente Cerrado Lona,2025,Trim. 3,agosto,27,2203,Lona,8,2,,1,2025,Trim. 3,agosto,27,9563
Cliente Cerrado Lona,2025,Trim. 3,agosto,27,2235,Lona,8,2,,1,2025,Trim. 3,agosto,27,9791
Cliente Cerrado Lona,2025,Trim. 3,agosto,27,2354,Lona,8,2,,1,2025,Trim. 3,agosto,27,9268
Cliente Cerrado Lona,2025,Trim. 3,agosto,28,2490,Lona,8,2,,1,2025,Trim. 3,agosto,28,10609
Cliente Cerrado Lona,2025,Trim. 3,agosto,28,2536,Lona,8,2,,1,2025,Trim. 3,agosto,28,2562
Cliente Cerrado Lona,2025,Trim. 3,agosto,28,2538,Lona,8,2,,1,2025,Trim. 3,agosto,28,2716
Cliente Cerrado Lona,2025,Trim. 3,agosto,28,2544,Lona,8,2,,1,2025,Trim. 3,agosto,28,2555
Cliente Cerrado Lona,2025,Trim. 3,agosto,28,2820,Lona,8,2,,1,2025,Trim. 3,agosto,28,10071
Cliente Cerrado Lona,2025,Trim. 3,agosto,28,2891,Lona,8,2,Extragrande,1,2025,Trim. 3,agosto,28,2613
Cliente Cerrado Lona,2025,Trim. 3,agosto,28,2898,Lona,8,2,Extragrande,1,2025,Trim. 3,agosto,28,2613
Cliente Cerrado Lona,2025,Trim. 3,agosto,29,3146,Lona,8,2,,1,2025,Trim. 3,agosto,29,10534
Cliente Cerrado Lona,2025,Trim. 3,agosto,29,3166,Lona,8,2,,1,2025,Trim. 3,agosto,29,9982
Cliente Cerrado Lona,2025,Trim. 3,agosto,29,3224,Lona,8,2,,1,2025,Trim. 3,agosto,29,10319
Cliente Cerrado Lona,2025,Trim. 3,agosto,29,3668,Lona,8,2,,1,2025,Trim. 3,agosto,29,10270
Cliente Cerrado Lona,2025,Trim. 3,agosto,30,3911,Lona,8,2,,1,2025,Trim. 3,agosto,30,8659
Cliente Cerrado Lona,2025,Trim. 3,agosto,30,4136,Lona,8,2,,1,2025,Trim. 3,agosto,30,10633
Cliente Cerrado Lona,2025,Trim. 3,agosto,30,4205,Lona,8,2,,1,2025,Trim. 3,agosto,30,10401
Cliente Cerrado Lona,2025,Trim. 3,agosto,30,4474,Lona,8,2,,1,2025,Trim. 3,agosto,30,9043
Cliente Cerrado Lona,2025,Trim. 3,agosto,30,4492,Lona,8,2,,1,2025,Trim. 3,agosto,30,8159
Cliente Cerrado Lona,2025,Trim. 3,septiembre,1,5280,Lona,8,2,,1,2025,Trim. 3,septiembre,1,10255
Cliente Cerrado Lona,2025,Trim. 3,septiembre,2,5587,Lona,8,2,,1,2025,Trim. 3,septiembre,2,7585
Cliente Cerrado Lona,2025,Trim. 3,septiembre,2,5648,Lona,8,2,,1,2025,Trim. 3,septiembre,2,7593
Cliente Cerrado Lona,2025,Trim. 3,septiembre,5,6935,Lona,8,2,,1,2025,Trim. 3,septiembre,5,7605
Cliente Cerrado Lona,2025,Trim. 3,septiembre,5,7145,Lona,8,2,,1,2025,Trim. 3,septiembre,5,8751
Cliente Cerrado Lona,2025,Trim. 3,septiembre,6,7446,Lona,8,2,,1,2025,Trim. 3,septiembre,6,8356
Cliente Cerrado Lona,2025,Trim. 3,septiembre,9,7734,Lona,8,2,,1,2025,Trim. 3,septiembre,9,8833
"CLIENTE DICE QUE NO LE RESPETAN LAS PROMOCIONES,DE HECHO QUITÓ LA LONA ANTRIOR.",2025,Trim. 3,agosto,26,1314,Lona,10,2,,1,2025,Trim. 3,agosto,26,10370
CLIENTE DICE QUE NO TIENE,2025,Trim. 3,agosto,31,4661,Lona,10,2,,1,2025,Trim. 3,agosto,31,10349
Cliente no dejará poner lona hasta que le traigan su lona de coca cola de 20,2025,Trim. 3,agosto,30,4148,Lona,10,2,,1,2025,Trim. 3,agosto,30,7725
Cliente no permitió cambio,2025,Trim. 3,agosto,25,882,Lona,8,2,,1,2025,Trim. 3,agosto,25,10060
Cliente no permitió cambio,2025,Trim. 3,agosto,25,939,Lona,8,2,,1,2025,Trim. 3,agosto,25,8868
Cliente no permitió cambio,2025,Trim. 3,agosto,26,1264,Lona,8,2,,1,2025,Trim. 3,agosto,26,10432
Cliente no permitió cambio,2025,Trim. 3,agosto,26,1313,Lona,8,2,,1,2025,Trim. 3,agosto,26,10370
Cliente no permitió cambio,2025,Trim. 3,agosto,26,1341,Lona,8,2,,1,2025,Trim. 3,agosto,26,10275
Cliente no permitió cambio,2025,Trim. 3,agosto,26,1426,Lona,8,2,,1,2025,Trim. 3,agosto,26,10316
Cliente no permitió cambio,2025,Trim. 3,agosto,26,1460,Lona,8,2,,1,2025,Trim. 3,agosto,26,10070
Cliente no permitió cambio,2025,Trim. 3,agosto,26,1472,Lona,8,2,,1,2025,Trim. 3,agosto,26,7952
Cliente no permitió cambio,2025,Trim. 3,agosto,26,1560,Lona,8,2,,1,2025,Trim. 3,agosto,26,10335
Cliente no permitió cambio,2025,Trim. 3,agosto,26,1583,Lona,8,2,,1,2025,Trim. 3,agosto,26,7702
Cliente no permitió cambio,2025,Trim. 3,agosto,27,1825,Lona,8,2,,1,2025,Trim. 3,agosto,27,10333
Cliente no permitió cambio,2025,Trim. 3,agosto,27,1832,Lona,8,2,,1,2025,Trim. 3,agosto,27,8989
Cliente no permitió cambio,2025,Trim. 3,agosto,27,1906,Lona,8,2,,1,2025,Trim. 3,agosto,27,10127
Cliente no permitió cambio,2025,Trim. 3,agosto,27,1912,Lona,8,2,,1,2025,Trim. 3,agosto,27,10133
Cliente no permitió cambio,2025,Trim. 3,agosto,27,1960,Lona,8,2,,1,2025,Trim. 3,agosto,27,10047
Cliente no permitió cambio,2025,Trim. 3,agosto,27,1963,Lona,8,2,,1,2025,Trim. 3,agosto,27,9190
Cliente no permitió cambio,2025,Trim. 3,agosto,27,1988,Lona,8,2,,1,2025,Trim. 3,agosto,27,7962
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2057,Lona,8,2,,1,2025,Trim. 3,agosto,27,9779
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2092,Lona,8,2,,1,2025,Trim. 3,agosto,27,9136
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2133,Lona,8,2,,1,2025,Trim. 3,agosto,27,9943
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2153,Lona,8,2,,1,2025,Trim. 3,agosto,27,9462
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2219,Lona,8,2,,1,2025,Trim. 3,agosto,27,10246
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2254,Lona,8,2,,1,2025,Trim. 3,agosto,27,10549
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2271,Lona,8,2,,1,2025,Trim. 3,agosto,27,10267
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2272,Lona,8,2,,1,2025,Trim. 3,agosto,27,9245
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2293,Lona,8,2,,1,2025,Trim. 3,agosto,27,10375
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2300,Lona,8,2,,1,2025,Trim. 3,agosto,27,9332
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2305,Lona,8,2,,1,2025,Trim. 3,agosto,27,10350
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2347,Lona,8,2,,1,2025,Trim. 3,agosto,27,9767
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2357,Lona,8,2,,1,2025,Trim. 3,agosto,27,10248
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2372,Lona,8,2,,1,2025,Trim. 3,agosto,27,8077
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2388,Lona,8,2,,1,2025,Trim. 3,agosto,27,9808
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2401,Lona,8,2,,1,2025,Trim. 3,agosto,27,10614
Cliente no permitió cambio,2025,Trim. 3,agosto,27,2426,Lona,8,2,,1,2025,Trim. 3,agosto,27,10125
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2465,Lona,8,2,,1,2025,Trim. 3,agosto,28,9658
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2482,Lona,8,2,,1,2025,Trim. 3,agosto,28,10409
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2496,Lona,8,2,,1,2025,Trim. 3,agosto,28,7540
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2505,Lona,8,2,,1,2025,Trim. 3,agosto,28,10503
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2512,Lona,8,2,,1,2025,Trim. 3,agosto,28,7549
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2546,Lona,8,2,,1,2025,Trim. 3,agosto,28,2564
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2645,Lona,8,2,,1,2025,Trim. 3,agosto,28,9445
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2663,Lona,8,2,,1,2025,Trim. 3,agosto,28,9283
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2666,Lona,8,2,,1,2025,Trim. 3,agosto,28,10374
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2668,Lona,10,2,,1,2025,Trim. 3,agosto,28,10374
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2784,Lona,8,2,,1,2025,Trim. 3,agosto,28,10118
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2795,Lona,8,2,,1,2025,Trim. 3,agosto,28,9961
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2869,Lona,8,2,,1,2025,Trim. 3,agosto,28,9333
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2900,Lona,8,2,,1,2025,Trim. 3,agosto,28,2572
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2902,Lona,8,2,,1,2025,Trim. 3,agosto,28,9415
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2921,Lona,8,2,,1,2025,Trim. 3,agosto,28,7714
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2931,Lona,8,2,,1,2025,Trim. 3,agosto,28,9504
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2947,Lona,8,2,,1,2025,Trim. 3,agosto,28,9949
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2949,Lona,8,2,,1,2025,Trim. 3,agosto,28,9680
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2966,Lona,8,2,,1,2025,Trim. 3,agosto,28,10510
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2968,Lona,8,2,,1,2025,Trim. 3,agosto,28,10498
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2982,Lona,8,2,,1,2025,Trim. 3,agosto,28,10079
Cliente no permitió cambio,2025,Trim. 3,agosto,28,2984,Lona,8,2,,1,2025,Trim. 3,agosto,28,10048
Cliente no permitió cambio,2025,Trim. 3,agosto,29,2999,Lona,8,2,,1,2025,Trim. 3,agosto,29,10357
Cliente no permitió cambio,2025,Trim. 3,agosto,29,3141,Lona,8,2,,1,2025,Trim. 3,agosto,29,10072
Cliente no permitió cambio,2025,Trim. 3,agosto,29,3143,Lona,8,2,,1,2025,Trim. 3,agosto,29,10586
Cliente no permitió cambio,2025,Trim. 3,agosto,29,3156,Lona,8,2,,1,2025,Trim. 3,agosto,29,10537
Cliente no permitió cambio,2025,Trim. 3,agosto,29,3184,Lona,8,2,,1,2025,Trim. 3,agosto,29,10363
Cliente no permitió cambio,2025,Trim. 3,agosto,29,3190,Lona,8,2,,1,2025,Trim. 3,agosto,29,10154
Cliente no permitió cambio,2025,Trim. 3,agosto,29,3221,Lona,8,2,,1,2025,Trim. 3,agosto,29,10181
Cliente no permitió cambio,2025,Trim. 3,agosto,29,3227,Lona,8,2,,1,2025,Trim. 3,agosto,29,10524
Cliente no permitió cambio,2025,Trim. 3,agosto,29,3459,Lona,8,2,,1,2025,Trim. 3,agosto,29,7719
Cliente no permitió cambio,2025,Trim. 3,agosto,29,3501,Lona,8,2,,1,2025,Trim. 3,agosto,29,9513
Cliente no permitió cambio,2025,Trim. 3,agosto,29,3528,Lona,8,2,,1,2025,Trim. 3,agosto,29,9555
Cliente no permitió cambio,2025,Trim. 3,agosto,29,3539,Lona,8,2,,1,2025,Trim. 3,agosto,29,8804
Cliente no permitió cambio,2025,Trim. 3,agosto,30,3682,Lona,8,2,,1,2025,Trim. 3,agosto,30,10390
Cliente no permitió cambio,2025,Trim. 3,agosto,30,3708,Lona,8,2,,1,2025,Trim. 3,agosto,30,10628
Cliente no permitió cambio,2025,Trim. 3,agosto,30,3710,Lona,8,2,,1,2025,Trim. 3,agosto,30,8330
Cliente no permitió cambio,2025,Trim. 3,agosto,30,3785,Lona,8,2,,1,2025,Trim. 3,agosto,30,10108
Cliente no permitió cambio,2025,Trim. 3,agosto,30,3791,Lona,8,2,,1,2025,Trim. 3,agosto,30,10522
Cliente no permitió cambio,2025,Trim. 3,agosto,30,3793,Lona,8,2,,1,2025,Trim. 3,agosto,30,10639
Cliente no permitió cambio,2025,Trim. 3,agosto,30,3882,Lona,8,2,,1,2025,Trim. 3,agosto,30,9826
Cliente no permitió cambio,2025,Trim. 3,agosto,30,4087,Lona,8,2,,1,2025,Trim. 3,agosto,30,9328
Cliente no permitió cambio,2025,Trim. 3,agosto,30,4146,Lona,8,2,,1,2025,Trim. 3,agosto,30,7725
Cliente no permitió cambio,2025,Trim. 3,agosto,30,4290,Lona,8,2,,1,2025,Trim. 3,agosto,30,10603
Cliente no permitió cambio,2025,Trim. 3,agosto,30,4304,Lona,8,2,,1,2025,Trim. 3,agosto,30,9733
Cliente no permitió cambio,2025,Trim. 3,agosto,30,4393,Lona,8,2,,1,2025,Trim. 3,agosto,30,10619
Cliente no permitió cambio,2025,Trim. 3,agosto,30,4400,Lona,8,2,,1,2025,Trim. 3,agosto,30,10000
Cliente no permitió cambio,2025,Trim. 3,agosto,30,4454,Lona,8,2,,1,2025,Trim. 3,agosto,30,9467
Cliente no permitió cambio,2025,Trim. 3,agosto,30,4477,Lona,8,2,,1,2025,Trim. 3,agosto,30,9047
Cliente no permitió cambio,2025,Trim. 3,agosto,30,4489,Lona,8,2,,1,2025,Trim. 3,agosto,30,8215
Cliente no permitió cambio,2025,Trim. 3,agosto,30,4516,Lona,8,2,,1,2025,Trim. 3,agosto,30,9413
Cliente no permitió cambio,2025,Trim. 3,agosto,30,4549,Lona,8,2,,1,2025,Trim. 3,agosto,30,8081
Cliente no permitió cambio,2025,Trim. 3,agosto,31,4569,Lona,8,2,,1,2025,Trim. 3,agosto,31,10345
Cliente no permitió cambio,2025,Trim. 3,agosto,31,4571,Lona,8,2,,1,2025,Trim. 3,agosto,31,10566
Cliente no permitió cambio,2025,Trim. 3,agosto,31,4589,Lona,8,2,,1,2025,Trim. 3,agosto,31,10584
Cliente no permitió cambio,2025,Trim. 3,agosto,31,4591,Lona,8,2,,1,2025,Trim. 3,agosto,31,10556
Cliente no permitió cambio,2025,Trim. 3,agosto,31,4597,Lona,8,2,,1,2025,Trim. 3,agosto,31,10575
Cliente no permitió cambio,2025,Trim. 3,agosto,31,4600,Lona,8,2,,1,2025,Trim. 3,agosto,31,10581
Cliente no permitió cambio,2025,Trim. 3,agosto,31,4620,Lona,8,2,,1,2025,Trim. 3,agosto,31,10189
Cliente no permitió cambio,2025,Trim. 3,agosto,31,4631,Lona,8,2,,1,2025,Trim. 3,agosto,31,10428
Cliente no permitió cambio,2025,Trim. 3,agosto,31,4660,Lona,8,2,,1,2025,Trim. 3,agosto,31,10349
