id,store_zone,store_name,store_mr,store_mr,store_operative,store_sap,store_region
5,Valle de Mexico,ABTS INGARQS,MR0024,MR0024,CHALCO,110147057,Chalco
1250,Valle de Mexico,LOS GATOS ABARROTEROS,MR0007,MR0007,EULALIA GUZMÁN,120355577,Fresno-Iztacalco
1251,Valle de Mexico,ABARROTES TIRRENO,MR0007,MR0007,EULALIA GUZMÁN,120361697,Fresno-Iztacalco
1252,Valle de Mexico,ABT BETHEL,MR0007,MR0007,EULALIA GUZMÁN,120238264,Fresno-Iztacalco
1256,Valle de Mexico,ABTS ATENEA,MR0007,MR0007,EULALIA GUZMÁN,120281693,Fresno-Iztacalco
1257,Valle de Mexico,ABTS BENJIS,MR0007,MR0007,EULALIA GUZMÁN,120208672,Fresno-Iztacalco
1258,Valle de Mexico,ABTS CAMACHO,MR0005,MR0005,IZTACALCO ADLA,110200498,Fresno-Iztacalco
1259,Valle de Mexico,ABARROTES CASA ZOL,MR0007,MR0007,EULALIA GUZMÁN,102705462,Fresno-Iztacalco
1260,Valle de Mexico,ABTS CASA RODRIGUEZ,MR0007,MR0007,EULALIA GUZMÁN,104700656,Fresno-Iztacalco
1261,Valle de Mexico,ABTS DAFRA,MR0007,MR0007,EULALIA GUZMÁN,120174438,Fresno-Iztacalco
1263,Valle de Mexico,ABTS DON BETO,MR0007,MR0007,EULALIA GUZMÁN,110257764,Fresno-Iztacalco
1264,Valle de Mexico,ABTS DON LALO,MR0000,MR0000,CEDIS NORTE,101700280,Cedis Norte
1265,Valle de Mexico,ABTS EBENEZER,MR0007,MR0007,EULALIA GUZMÁN,102704790,Fresno-Iztacalco
1266,Valle de Mexico,ABTS EL ARBOL,MR0007,MR0007,EULALIA GUZMÁN,110189735,Fresno-Iztacalco
1267,Valle de Mexico,ABTS EL CACHORRO,MR0007,MR0007,EULALIA GUZMÁN,120099338,Fresno-Iztacalco
1268,Valle de Mexico,ABTS EL ENJAMBRE,MR0007,MR0007,EULALIA GUZMÁN,120296490,Fresno-Iztacalco
1275,Valle de Mexico,ABTS JOVOCAR,MR0007,MR0007,EULALIA GUZMÁN,120231600,Fresno-Iztacalco
1276,Valle de Mexico,ABTS KAREN MELANIE,MR0007,MR0007,EULALIA GUZMÁN,110024202,Fresno-Iztacalco
1277,Valle de Mexico,ABTS LA BIBLIOTECA,MR0007,MR0007,EULALIA GUZMÁN,101703608,Fresno-Iztacalco
1279,Valle de Mexico,ABTS LA CUEVITA,MR0007,MR0007,EULALIA GUZMÁN,110101638,Fresno-Iztacalco
1281,Valle de Mexico,ABTS LA ESQUINITA,MR0007,MR0007,EULALIA GUZMÁN,104302087,Fresno-Iztacalco
1282,Valle de Mexico,ABTS LA HIDALGUENSE,MR0007,MR0007,EULALIA GUZMÁN,102701898,Fresno-Iztacalco
1283,Valle de Mexico,ABTS LA MANZA,MR0007,MR0007,EULALIA GUZMÁN,101003877,Fresno-Iztacalco
1284,Valle de Mexico,ABTS LA NUEVA GUADALUPANA,MR0007,MR0007,EULALIA GUZMÁN,110157817,Fresno-Iztacalco
1291,Valle de Mexico,ABTS LUCY,MR0007,MR0007,EULALIA GUZMÁN,104701216,Fresno-Iztacalco
1293,Valle de Mexico,ABTS LUPITA,MR0007,MR0007,EULALIA GUZMÁN,120007806,Fresno-Iztacalco
1295,Valle de Mexico,ABTS MAC,MR0007,MR0007,EULALIA GUZMÁN,120182745,Fresno-Iztacalco
1296,Valle de Mexico,ABTS MARY,MR0007,MR0007,EULALIA GUZMÁN,100702854,Fresno-Iztacalco
1300,Valle de Mexico,ABTS MINI BOCHO,MR0005,MR0005,IZTACALCO ADLA,101900654,Fresno-Iztacalco
1302,Valle de Mexico,ABTS MK,MR0007,MR0007,EULALIA GUZMÁN,120134826,Fresno-Iztacalco
1303,Valle de Mexico,ABTS MONTESION 2,MR0007,MR0007,EULALIA GUZMÁN,120176873,Fresno-Iztacalco
